description,incident_type,severity,people_affected,rainfall_mm,nearby_reports,risk_zone,risk_score,incident_type_encoded,severity_encoded,risk_zone_encoded
rapidly rising water levels has affected the village market and residents are requesting immediate assistance.,Flood,Medium,29,105,13,Medium,60,2,2,2
a wildfire driven by strong winds is threatening nearby homes and evacuation may become necessary.,Forest Fire,Medium,3,0,6,Medium,50,3,2,2
unstable hillside material has blocked access to residential areas creating a serious threat to nearby communities.,Landslide,Medium,21,132,1,Medium,39,5,2,2
extreme daytime temperatures is creating dangerous conditions outdoors creating a serious public safety concern.,Heatwave,High,21,15,17,High,65,4,1,0
rising river water has blocked the main access road and emergency evacuation is required.,Flood,High,10,158,2,High,69,2,1,0
a major landslide has buried sections of the roadway with transportation completely disrupted.,Landslide,Critical,2,103,9,High,89,5,0,0
overflowing water has blocked the main access road and rescue teams are needed.,Flood,Critical,12,197,4,High,96,2,0,0
an unconscious patient needs immediate first response and immediate treatment is necessary.,Medical Emergency,High,9,56,20,High,73,7,1,0
severe lightning activity has damaged a nearby structure while severe weather continues.,Lightning,Medium,20,11,6,Medium,49,6,2,2
a fire inside a crowded neighborhood has forced residents to evacuate and firefighters require immediate assistance.,Urban Fire,Critical,16,54,15,High,93,8,0,0
a major building fire has trapped people inside a building and trapped residents need rescue.,Urban Fire,Critical,17,33,7,High,89,8,0,0
an unconscious patient has suffered a sudden health crisis with emergency medical support required.,Medical Emergency,High,16,28,4,Medium,66,7,1,2
several injured residents has been injured in an accident creating a critical situation.,Medical Emergency,Critical,10,50,4,High,86,7,0,0
a powerful coastal cyclone has uprooted large trees with rescue teams being deployed.,Cyclone,High,0,164,1,Medium,84,0,1,2
violent storm activity has blocked several roads and additional emergency support is needed.,Cyclone,High,14,112,16,High,83,0,1,0
a large fire in dry forest land is threatening nearby homes and evacuation may become necessary.,Forest Fire,Critical,23,13,3,High,90,3,0,0
extreme heat is causing serious illness among residents as dangerous heat continues.,Heatwave,Medium,23,52,3,Medium,43,4,2,2
a large forest fire is producing heavy smoke with visibility severely reduced by smoke.,Forest Fire,Critical,7,11,13,High,86,3,0,0
multiple accident victims requires emergency evacuation while the patient's condition remains serious.,Medical Emergency,Medium,3,57,14,Medium,61,7,2,2
a large forest fire has forced residents to prepare for evacuation while the fire continues to spread.,Forest Fire,High,18,0,2,Medium,79,3,1,2
dangerously high temperatures is causing people to collapse creating a serious public safety concern.,Heatwave,Medium,26,29,8,Low,48,4,2,1
dangerously high temperatures is causing people to collapse with residents advised to seek shelter.,Heatwave,Medium,23,68,9,Low,63,4,2,1
extreme daytime temperatures has affected elderly people while temperatures remain extremely high.,Heatwave,Critical,6,79,9,High,95,4,0,0
severe earthquake tremors has collapsed several buildings and injured residents require assistance.,Earthquake,High,17,74,18,Medium,78,1,1,2
strong seismic shaking has left multiple buildings unsafe and rescue teams are urgently needed.,Earthquake,Medium,26,31,15,Low,52,1,2,1
a person with a critical injury needs immediate first response creating a critical situation.,Medical Emergency,Medium,30,73,19,Medium,52,7,2,2
prolonged hot weather has increased hospital admissions and medical assistance is required.,Heatwave,High,25,38,19,Medium,67,4,1,2
a lightning strike has caused serious injuries while severe weather continues.,Lightning,Critical,2,43,5,High,99,6,0,0
a commercial building fire is spreading between nearby buildings and emergency evacuation is required.,Urban Fire,Medium,22,29,10,Low,48,8,2,1
a large market fire has destroyed residential property while smoke continues to spread.,Urban Fire,Critical,0,50,16,High,97,8,0,0
strong seismic shaking has caused widespread structural damage while aftershocks remain possible.,Earthquake,High,6,42,9,High,65,1,1,0
flood water has damaged roads and buildings making the area inaccessible.,Flood,Medium,13,103,12,Low,57,2,2,1
several injured residents needs an emergency ambulance while the patient's condition remains serious.,Medical Emergency,Critical,13,1,8,High,91,7,0,0
a powerful earthquake has collapsed several buildings and emergency response operations are underway.,Earthquake,High,14,69,13,Medium,82,1,1,2
intense ground movement has destroyed several homes and rescue teams are urgently needed.,Earthquake,High,0,64,13,High,70,1,1,0
a fire inside a crowded neighborhood is threatening nearby homes while smoke continues to spread.,Urban Fire,Critical,15,40,11,High,88,8,0,0
severe cyclone winds has knocked down electricity poles and additional emergency support is needed.,Cyclone,Critical,10,175,4,High,86,0,0,0
severe waterlogging has submerged low lying areas with several people unable to leave.,Flood,High,28,169,0,Medium,83,2,1,2
violent storm activity has knocked down electricity poles and residents need immediate shelter.,Cyclone,High,6,51,14,High,67,0,1,0
violent storm activity has uprooted large trees and emergency evacuation is required.,Cyclone,Medium,13,154,3,Medium,58,0,2,2
strong seismic shaking has left multiple buildings unsafe while aftershocks remain possible.,Earthquake,Critical,17,41,9,High,91,1,0,0
severe waterlogging has trapped residents inside their homes creating a serious threat to residents.,Flood,Medium,26,157,10,Medium,35,2,2,2
extreme storm conditions has blocked several roads with rescue teams being deployed.,Cyclone,High,30,80,11,Medium,68,0,1,2
flood water has trapped residents inside their homes and rescue teams are needed.,Flood,Critical,26,80,9,High,88,2,0,0
severe lightning activity has struck an open area and injured people need immediate treatment.,Lightning,High,28,4,16,High,83,6,1,0
heavy rainfall triggered debris has isolated a village while residents remain stranded.,Landslide,Critical,13,33,12,High,93,5,0,0
heavy rainfall has reached nearby schools while water levels continue to rise.,Flood,Critical,28,125,0,High,87,2,0,0
a large fire in dry forest land has damaged forest infrastructure while the fire continues to spread.,Forest Fire,High,8,44,2,High,79,3,1,0
dangerously high temperatures is affecting vulnerable populations with residents advised to seek shelter.,Heatwave,Medium,10,4,2,Medium,37,4,2,2
a large forest fire is burning through dry vegetation with visibility severely reduced by smoke.,Forest Fire,High,25,17,7,High,73,3,1,0
severe earthquake tremors has created large cracks in walls and rescue teams are urgently needed.,Earthquake,Critical,28,65,14,High,97,1,0,0
a powerful coastal cyclone has blocked several roads and residents need immediate shelter.,Cyclone,High,25,49,14,High,67,0,1,0
severe earthquake tremors has created large cracks in walls and emergency response operations are underway.,Earthquake,High,29,26,11,Medium,75,1,1,2
lightning during a major storm has struck a residential building while severe weather continues.,Lightning,High,23,62,16,High,76,6,1,0
multiple accident victims needs an emergency ambulance while the patient's condition remains serious.,Medical Emergency,Medium,10,61,5,Medium,50,7,2,2
prolonged hot weather has increased hospital admissions and vulnerable residents need support.,Heatwave,High,26,37,17,Medium,81,4,1,2
a sudden mountain slope collapse has covered the road with debris while residents remain stranded.,Landslide,High,23,132,12,High,75,5,1,0
violent storm activity has disrupted electricity supply and residents need immediate shelter.,Cyclone,Medium,8,137,8,Medium,56,0,2,2
prolonged hot weather is causing people to collapse creating a serious public safety concern.,Heatwave,Critical,19,56,7,High,99,4,0,0
dangerously high temperatures is creating dangerous conditions outdoors while temperatures remain extremely high.,Heatwave,High,29,16,20,Medium,70,4,1,2
extreme daytime temperatures is causing serious illness among residents and vulnerable residents need support.,Heatwave,Medium,28,41,12,Medium,64,4,2,2
a severe medical emergency has suffered a sudden health crisis while the patient's condition remains serious.,Medical Emergency,Medium,24,80,12,Low,36,7,2,1
multiple lightning strikes has caused a medical emergency while severe weather continues.,Lightning,High,5,33,2,High,74,6,1,0
a seriously injured person requires emergency evacuation and an ambulance is needed immediately.,Medical Emergency,Medium,11,45,20,Medium,44,7,2,2
a major building fire has damaged commercial infrastructure and firefighters require immediate assistance.,Urban Fire,High,30,58,14,High,83,8,1,0
a severe heatwave has increased hospital admissions with residents advised to seek shelter.,Heatwave,Medium,15,65,5,Medium,57,4,2,2
unstable hillside material has completely blocked the highway as additional debris continues to fall.,Landslide,Medium,4,94,13,Low,35,5,2,1
a major vegetation fire has reached the forest boundary and firefighters require additional support.,Forest Fire,Critical,28,38,5,High,98,3,0,0
unstable hillside material has damaged local infrastructure creating a serious threat to nearby communities.,Landslide,Medium,4,155,11,Low,47,5,2,1
a major vegetation fire has affected a large forest area creating a serious danger to nearby communities.,Forest Fire,Critical,0,17,0,High,87,3,0,0
an unconscious patient needs an emergency ambulance creating a critical situation.,Medical Emergency,High,13,15,7,High,84,7,1,0
strong seismic shaking has collapsed several buildings while aftershocks remain possible.,Earthquake,High,23,77,11,Medium,78,1,1,2
a residential fire has destroyed residential property and emergency evacuation is required.,Urban Fire,High,19,66,9,High,84,8,1,0
heavy rainfall has submerged low lying areas making the area inaccessible.,Flood,Critical,26,183,8,High,97,2,0,0
dangerously high temperatures has resulted in medical emergencies and vulnerable residents need support.,Heatwave,Medium,26,9,4,Low,35,4,2,1
rising river water has affected the village market making the area inaccessible.,Flood,Medium,22,118,15,Medium,47,2,2,2
severe heat conditions is causing serious illness among residents and emergency medical teams are being requested.,Heatwave,High,20,51,13,High,75,4,1,0
strong coastal winds has knocked down electricity poles and residents need immediate shelter.,Cyclone,High,20,27,1,Medium,80,0,1,2
a rapidly spreading city fire has filled buildings with heavy smoke while smoke continues to spread.,Urban Fire,High,28,56,11,Medium,83,8,1,2
a sudden mountain slope collapse has completely blocked the highway and rescue teams are required.,Landslide,Critical,23,188,20,High,86,5,0,0
severe cyclone winds has affected multiple villages with rescue teams being deployed.,Cyclone,Medium,27,117,19,Medium,56,0,2,2
a rapidly approaching cyclone has damaged communication infrastructure and additional emergency support is needed.,Cyclone,High,28,93,17,High,70,0,1,0
overflowing water has submerged low lying areas and emergency evacuation is required.,Flood,High,10,191,12,Medium,70,2,1,2
flames inside the forest has affected a large forest area and evacuation may become necessary.,Forest Fire,Medium,23,19,13,Low,54,3,2,1
extreme heat is causing dehydration among residents creating a serious public safety concern.,Heatwave,Medium,22,47,18,Medium,52,4,2,2
severe waterlogging has entered residential houses creating a serious threat to residents.,Flood,High,12,103,6,Medium,79,2,1,2
heavy rainfall triggered debris has isolated a village and rescue teams are required.,Landslide,Medium,29,145,6,Medium,38,5,2,2
severe earthquake tremors has damaged roads and bridges with people potentially trapped under debris.,Earthquake,High,22,8,17,High,66,1,1,0
severe lightning activity has injured several residents as additional lightning activity is reported.,Lightning,Critical,24,67,18,High,85,6,0,0
lightning during a major storm has injured several residents while severe weather continues.,Lightning,Critical,6,25,1,High,88,6,0,0
severe heat conditions is causing people to collapse and medical assistance is required.,Heatwave,Medium,5,53,17,Low,52,4,2,1
intense ground movement has caused widespread structural damage and immediate structural assessment is required.,Earthquake,Medium,6,74,2,Low,36,1,2,1
prolonged hot weather is affecting vulnerable populations and vulnerable residents need support.,Heatwave,Critical,27,58,10,High,93,4,0,0
a strong seismic event has left multiple buildings unsafe and injured residents require assistance.,Earthquake,Critical,9,18,16,High,88,1,0,0
a fire inside a crowded neighborhood has trapped people inside a building creating a serious danger to nearby people.,Urban Fire,High,30,78,10,High,76,8,1,0
strong seismic shaking has caused major infrastructure damage and injured residents require assistance.,Earthquake,Critical,14,76,1,High,88,1,0,0
severe lightning activity has injured several residents with medical teams being requested.,Lightning,Critical,30,57,5,High,87,6,0,0
strong coastal winds has affected multiple villages creating a serious threat to coastal residents.,Cyclone,Critical,8,143,9,High,96,0,0,0
repeated lightning activity has affected people outdoors while severe weather continues.,Lightning,Medium,10,35,16,Medium,49,6,2,2
a severe heatwave has affected elderly people with residents advised to seek shelter.,Heatwave,High,25,73,17,High,76,4,1,0
a sudden mountain slope collapse has buried sections of the roadway and emergency clearance is needed.,Landslide,Medium,20,170,5,Medium,59,5,2,2
rapidly rising water levels has entered residential houses with several people unable to leave.,Flood,Critical,7,26,6,High,91,2,0,0
intense ground movement has created large cracks in walls while aftershocks remain possible.,Earthquake,High,17,45,9,Medium,73,1,1,2
an unconscious patient requires emergency evacuation with medical assistance urgently required.,Medical Emergency,High,7,73,4,Medium,78,7,1,2
repeated lightning activity has disrupted electrical equipment and emergency medical assistance is required.,Lightning,Medium,7,26,8,Low,55,6,2,1
a major landslide has trapped several vehicles and emergency clearance is needed.,Landslide,Medium,2,154,11,Medium,37,5,2,2
intense ground movement has caused widespread structural damage and rescue teams are urgently needed.,Earthquake,Medium,14,67,11,Medium,37,1,2,2
lightning during a major storm has disrupted electrical equipment and emergency medical assistance is required.,Lightning,High,0,43,9,Medium,74,6,1,2
violent storm activity has damaged coastal buildings with rescue teams being deployed.,Cyclone,High,16,174,13,High,68,0,1,0
an unconscious patient has been injured in an accident and emergency responders are being requested.,Medical Emergency,Medium,19,67,7,Medium,42,7,2,2
an unconscious patient needs immediate first response and an ambulance is needed immediately.,Medical Emergency,Medium,20,38,1,Low,58,7,2,1
heavy rainfall has damaged roads and buildings and residents are requesting immediate assistance.,Flood,Critical,27,138,5,High,85,2,0,0
a powerful electrical discharge has damaged a nearby structure and emergency medical assistance is required.,Lightning,High,27,12,7,Medium,69,6,1,2
a wildfire driven by strong winds has forced residents to prepare for evacuation as strong winds continue to push the flames.,Forest Fire,Critical,3,20,14,High,92,3,0,0
extreme heat is causing heat exhaustion while temperatures remain extremely high.,Heatwave,Critical,11,28,6,High,95,4,0,0
a powerful earthquake has created large cracks in walls while aftershocks remain possible.,Earthquake,Critical,27,28,9,High,98,1,0,0
dangerously high temperatures is causing serious illness among residents while temperatures remain extremely high.,Heatwave,Critical,5,74,8,High,85,4,0,0
a fire inside a crowded neighborhood has damaged commercial infrastructure and firefighters require immediate assistance.,Urban Fire,Critical,3,33,19,High,87,8,0,0
severe waterlogging has damaged roads and buildings and rescue teams are needed.,Flood,Medium,26,149,13,Low,61,2,2,1
a large market fire is threatening nearby homes creating a serious danger to nearby people.,Urban Fire,Critical,5,53,15,High,87,8,0,0
a strong seismic event has caused widespread structural damage and immediate structural assessment is required.,Earthquake,Critical,7,58,11,High,87,1,0,0
a rapidly spreading wildfire has affected a large forest area and firefighters require additional support.,Forest Fire,Critical,17,76,19,High,96,3,0,0
a major vegetation fire is becoming difficult to control with visibility severely reduced by smoke.,Forest Fire,Medium,16,14,18,Low,38,3,2,1
severe earthquake tremors has affected hospitals and public buildings and rescue teams are urgently needed.,Earthquake,Critical,14,16,16,High,91,1,0,0
a powerful earthquake has damaged roads and bridges while aftershocks remain possible.,Earthquake,Critical,23,45,5,High,87,1,0,0
a commercial building fire is spreading through a residential area and emergency evacuation is required.,Urban Fire,Medium,18,68,5,Low,59,8,2,1
heavy rainfall has affected the village market making the area inaccessible.,Flood,High,7,89,13,High,80,2,1,0
heavy rainfall has entered residential houses with several people unable to leave.,Flood,Medium,15,180,7,Low,43,2,2,1
a severe medical emergency requires urgent hospitalization and emergency responders are being requested.,Medical Emergency,High,5,44,19,High,79,7,1,0
a large hillside collapse has buried sections of the roadway as additional debris continues to fall.,Landslide,Critical,4,29,9,High,99,5,0,0
intense ground movement has caused major infrastructure damage and immediate structural assessment is required.,Earthquake,Medium,18,40,18,Low,54,1,2,1
a rapidly spreading city fire has destroyed residential property and trapped residents need rescue.,Urban Fire,Medium,17,1,8,Low,42,8,2,1
a large market fire has trapped people inside a building creating a serious danger to nearby people.,Urban Fire,Critical,12,43,2,High,93,8,0,0
extreme storm conditions has affected multiple villages and additional emergency support is needed.,Cyclone,High,21,47,15,High,79,0,1,0
multiple lightning strikes has injured several residents and emergency responders are needed.,Lightning,High,20,62,18,Medium,84,6,1,2
a severe heatwave is causing people to collapse with residents advised to seek shelter.,Heatwave,Medium,3,45,17,Low,50,4,2,1
flood water has isolated the local community making the area inaccessible.,Flood,High,18,164,0,Medium,67,2,1,2
a large fire in dry forest land is burning through dry vegetation and evacuation may become necessary.,Forest Fire,High,26,27,15,Medium,73,3,1,2
flames inside the forest is producing heavy smoke creating a serious danger to nearby communities.,Forest Fire,High,0,1,10,Medium,68,3,1,2
a major earthquake has caused widespread structural damage while aftershocks remain possible.,Earthquake,Critical,6,8,3,High,94,1,0,0
a major vegetation fire is threatening nearby homes with visibility severely reduced by smoke.,Forest Fire,Medium,19,80,13,Medium,40,3,2,2
a large fire in dry forest land is burning through dry vegetation as strong winds continue to push the flames.,Forest Fire,Medium,21,18,2,Medium,51,3,2,2
repeated lightning activity has struck an open area and injured people need immediate treatment.,Lightning,Critical,8,47,14,High,93,6,0,0
a wildfire driven by strong winds is threatening nearby homes as strong winds continue to push the flames.,Forest Fire,Medium,9,3,9,Medium,41,3,2,2
a large hillside collapse has blocked access to residential areas as additional debris continues to fall.,Landslide,High,27,140,1,Medium,77,5,1,2
lightning during a major storm has damaged electrical infrastructure and injured people need immediate treatment.,Lightning,High,1,20,18,High,71,6,1,0
a powerful coastal cyclone has damaged residential roofs and additional emergency support is needed.,Cyclone,Medium,9,199,9,Low,35,0,2,1
a residential fire has damaged commercial infrastructure as the fire continues to grow.,Urban Fire,Medium,7,78,5,Medium,56,8,2,2
a lightning strike has struck an open area and injured people need immediate treatment.,Lightning,High,25,50,15,Medium,80,6,1,2
an unconscious patient has been injured in an accident creating a critical situation.,Medical Emergency,Critical,30,71,8,High,88,7,0,0
a fire inside a crowded neighborhood has damaged commercial infrastructure with emergency responders at the scene.,Urban Fire,Medium,8,10,6,Low,40,8,2,1
